# {"t_start": 1602725079.5401027, "env_id": "goal-yumi-pegtransfer-v0"} 
r,l,t
-49,50,56192.81175
-49,50,56247.026339
-50,50,56301.22726
-50,50,56355.507012
-49,50,56409.761927
-49,50,56464.033143
-50,50,56518.25067
-50,50,56572.441603
-49,50,56626.63847
-50,50,56680.845357
-50,50,56735.084229
-50,50,56789.320632
-49,50,56843.501718
-48,50,56897.648207
-50,50,56951.813234
-50,50,57006.105071
-50,50,57060.306243
-49,50,57114.525871
-50,50,57168.766226
-50,50,57222.950085
-50,50,57277.158497
-48,50,57331.358929
-49,50,57385.60435
-50,50,57439.844583
-50,50,57494.07396
-50,50,57548.291114
-49,50,57602.505022
-3,50,57656.716029
-3,50,57708.506875
-3,50,57760.305532
-2,50,57812.110051
-2,50,57863.945987
-2,50,57915.814795
-11,50,57967.623352
-3,50,58019.415961
-5,50,58071.225155
-4,50,58123.023618
-50,50,58174.849528
-50,50,58229.131904
-48,50,58283.310617
-50,50,58337.508808
-50,50,58391.679145
-50,50,58445.981953
-49,50,58500.1857
-49,50,58554.455467
-48,50,58608.741758
-50,50,58662.938718
-49,50,58717.167848
-50,50,58771.388147
-50,50,58825.569228
-49,50,58879.816531
-49,50,58934.02201
-48,50,58988.350958
-50,50,59042.540808
-49,50,59096.778264
-50,50,59151.052743
-50,50,59205.47245
-50,50,59259.691759
-50,50,59314.692475
-48,50,59369.257132
-49,50,59423.467506
-49,50,59477.64754
-50,50,59531.893379
-50,50,59586.610468
-48,50,59641.04021
-50,50,59695.365557
-49,50,59749.582112
-50,50,59803.81556
-48,50,59858.007832
-50,50,59912.850054
-50,50,59967.090632
-49,50,60021.337546
-50,50,60075.519315
-49,50,60129.823704
-50,50,60184.09665
-50,50,60249.314419
-50,50,60316.536128
-50,50,60370.771423
-50,50,60425.038099
-50,50,60479.251919
-49,50,60533.917806
-50,50,60588.224644
-50,50,60642.744638
-49,50,60697.240735
-50,50,60751.520777
-49,50,60805.730487
-49,50,60860.266755
-6,50,60932.674081
-3,50,60984.461649
-7,50,61036.25572
-28,50,61088.028708
-2,50,61139.817484
-5,50,61191.609771
-10,50,61243.408608
-3,50,61295.205189
-3,50,61347.005579
-29,50,61398.803657
-49,50,61450.608064
-50,50,61504.852517
-50,50,61559.050496
-50,50,61613.477598
-50,50,61667.682759
-50,50,61722.028181
-50,50,61777.700396
-50,50,61832.268875
-48,50,61887.577888
-49,50,61942.067904
-50,50,61996.662957
-50,50,62050.864201
-49,50,62105.173655
-48,50,62159.779288
-50,50,62214.386858
-50,50,62268.940819
-49,50,62323.160087
-49,50,62377.723972
-49,50,62431.962189
-49,50,62486.240658
-48,50,62540.479103
-49,50,62594.731349
-50,50,62649.005297
-49,50,62703.215302
-49,50,62757.63142
-50,50,62812.089323
-50,50,62866.44567
-50,50,62920.679253
-50,50,62975.027938
-50,50,63029.443806
-50,50,63083.628665
-50,50,63137.868031
-49,50,63192.054262
-49,50,63246.252054
-50,50,63300.740999
-49,50,63354.957653
-48,50,63409.196104
-48,50,63463.469786
-49,50,63517.727954
-49,50,63571.971397
-49,50,63626.224312
-50,50,63680.553308
-50,50,63734.71278
-50,50,63789.102273
-50,50,63843.328551
-50,50,63897.657321
-50,50,63951.823224
-50,50,64006.065196
-49,50,64060.302199
-49,50,64114.665254
-9,50,64168.911772
-5,50,64220.702927
-36,50,64272.486524
-2,50,64324.273216
-5,50,64376.06431
